,room,capacity,occupancy,day,month,date,time
392,B1.08,40,75%,Fri,Nov,13,09:00:00
393,B1.08,40,75%,Fri,Nov,13,10:00:00
394,B1.08,40,25%,Fri,Nov,13,11:00:00
395,B1.08,40,25%,Fri,Nov,13,12:00:00
396,B1.08,40,25%,Fri,Nov,13,13:00:00
397,B1.08,40,0%,Fri,Nov,13,14:00:00
398,B1.08,40,0%,Fri,Nov,13,15:00:00
399,B1.08,40,25%,Fri,Nov,13,16:00:00
400,B1.09,90,0%,Mon,Nov,02,09:00:00
401,B1.09,90,50%,Mon,Nov,02,10:00:00
402,B1.09,90,50%,Mon,Nov,02,11:00:00
403,B1.09,90,50%,Mon,Nov,02,12:00:00
404,B1.09,90,75%,Mon,Nov,02,13:00:00
405,B1.09,90,75%,Mon,Nov,02,14:00:00
406,B1.09,90,0%,Mon,Nov,02,15:00:00
407,B1.09,90,25%,Mon,Nov,02,16:00:00
408,B1.09,90,0%,Tue,Nov,03,09:00:00
409,B1.09,90,25%,Tue,Nov,03,10:00:00
410,B1.09,90,25%,Tue,Nov,03,11:00:00
411,B1.09,90,50%,Tue,Nov,03,12:00:00
412,B1.09,90,25%,Tue,Nov,03,13:00:00
413,B1.09,90,25%,Tue,Nov,03,14:00:00
414,B1.09,90,0%,Tue,Nov,03,15:00:00
415,B1.09,90,0%,Tue,Nov,03,16:00:00
416,B1.09,90,0%,Wed,Nov,04,09:00:00
417,B1.09,90,0%,Wed,Nov,04,10:00:00
418,B1.09,90,25%,Wed,Nov,04,11:00:00
419,B1.09,90,0%,Wed,Nov,04,12:00:00
420,B1.09,90,25%,Wed,Nov,04,13:00:00
421,B1.09,90,75%,Wed,Nov,04,14:00:00
422,B1.09,90,0%,Wed,Nov,04,15:00:00
423,B1.09,90,0%,Wed,Nov,04,16:00:00
424,B1.09,90,0%,Thu,Nov,05,09:00:00
425,B1.09,90,0%,Thu,Nov,05,10:00:00
426,B1.09,90,0%,Thu,Nov,05,11:00:00
427,B1.09,90,25%,Thu,Nov,05,12:00:00
428,B1.09,90,25%,Thu,Nov,05,13:00:00
429,B1.09,90,25%,Thu,Nov,05,14:00:00
430,B1.09,90,0%,Thu,Nov,05,15:00:00
431,B1.09,90,0%,Thu,Nov,05,16:00:00
432,B1.09,90,0%,Fri,Nov,06,09:00:00
433,B1.09,90,0%,Fri,Nov,06,10:00:00
434,B1.09,90,0%,Fri,Nov,06,11:00:00
435,B1.09,90,0%,Fri,Nov,06,12:00:00
436,B1.09,90,0%,Fri,Nov,06,13:00:00
437,B1.09,90,0%,Fri,Nov,06,14:00:00
438,B1.09,90,0%,Fri,Nov,06,15:00:00
439,B1.09,90,0%,Fri,Nov,06,16:00:00
440,B1.09,90,0%,Mon,Nov,09,09:00:00
441,B1.09,90,0%,Mon,Nov,09,10:00:00
442,B1.09,90,25%,Mon,Nov,09,11:00:00
443,B1.09,90,25%,Mon,Nov,09,12:00:00
444,B1.09,90,25%,Mon,Nov,09,13:00:00
445,B1.09,90,0%,Mon,Nov,09,14:00:00
446,B1.09,90,25%,Mon,Nov,09,15:00:00
447,B1.09,90,25%,Mon,Nov,09,16:00:00
448,B1.09,90,0%,Tue,Nov,10,09:00:00
449,B1.09,90,0%,Tue,Nov,10,10:00:00
450,B1.09,90,0%,Tue,Nov,10,11:00:00
451,B1.09,90,0%,Tue,Nov,10,12:00:00
452,B1.09,90,0%,Tue,Nov,10,13:00:00
453,B1.09,90,25%,Tue,Nov,10,14:00:00
454,B1.09,90,0%,Tue,Nov,10,15:00:00
455,B1.09,90,0%,Tue,Nov,10,16:00:00
456,B1.09,90,0%,Wed,Nov,11,09:00:00
457,B1.09,90,0%,Wed,Nov,11,10:00:00
458,B1.09,90,0%,Wed,Nov,11,11:00:00
459,B1.09,90,0%,Wed,Nov,11,12:00:00
460,B1.09,90,25%,Wed,Nov,11,13:00:00
461,B1.09,90,25%,Wed,Nov,11,14:00:00
462,B1.09,90,0%,Wed,Nov,11,15:00:00
463,B1.09,90,0%,Wed,Nov,11,16:00:00
464,B1.09,90,0%,Thu,Nov,12,09:00:00
465,B1.09,90,0%,Thu,Nov,12,10:00:00
466,B1.09,90,0%,Thu,Nov,12,11:00:00
467,B1.09,90,0%,Thu,Nov,12,12:00:00
468,B1.09,90,25%,Thu,Nov,12,13:00:00
469,B1.09,90,25%,Thu,Nov,12,14:00:00
470,B1.09,90,0%,Thu,Nov,12,15:00:00
471,B1.09,90,0%,Thu,Nov,12,16:00:00
472,B1.09,90,0%,Fri,Nov,13,09:00:00
473,B1.09,90,0%,Fri,Nov,13,10:00:00
474,B1.09,90,0%,Fri,Nov,13,11:00:00
475,B1.09,90,0%,Fri,Nov,13,12:00:00
476,B1.09,90,0%,Fri,Nov,13,13:00:00
477,B1.09,90,0%,Fri,Nov,13,14:00:00
478,B1.09,90,0%,Fri,Nov,13,15:00:00
479,B1.09,90,25%,Fri,Nov,13,16:00:00
